trip_id,trip_property_id,value
60314940,trip_type,supplemental
60314943,note,Does not run during school vacation
60314943,trip_type,supplemental
60314948,note,Does not run during school vacation
60314948,trip_type,supplemental
60314949,note,Does not run during school vacation
60314949,trip_type,supplemental
60314952,note,Does not run during school vacation
60314952,trip_type,supplemental
60314967,note,Does not run during school vacation
60314967,trip_type,supplemental
60314968,note,Does not run during school vacation
60314968,trip_type,supplemental
60314975,note,Does not run during school vacation
60314975,trip_type,supplemental
60314977,note,Does not run during school vacation
60314977,trip_type,supplemental
60314982,note,Does not run during school vacation
60314982,trip_type,supplemental
60314987,note,Does not run during school vacation
60314987,trip_type,supplemental
60315056,note,Does not run during school vacation
60315056,trip_type,supplemental
60315091,note,Does not run during school vacation
60315091,trip_type,supplemental
60315125,note,Does not run during school vacation
60315125,trip_type,supplemental
60315126,note,Does not run during school vacation
60315126,trip_type,supplemental
60318230,note,Waits at Wellington for last Orange Line train
60318230,trip_type,wait
60318388,note,Waits at Sullivan Square for last Orange Line train
60318388,trip_type,wait
60318457,note,Waits at Wellington for last Orange Line train
60318457,trip_type,wait
60318490,note,Waits at Sullivan Square for last Orange Line train
60318490,trip_type,wait
60318561,note,Waits at Sullivan Square for last Orange Line train
60318561,trip_type,wait
60318953,note,Waits at Sullivan Square for last Orange Line train
60318953,trip_type,wait
60318994,note,Waits at Harvard for last Red Line train
60318994,trip_type,wait
60319157,note,Waits at Malden Center for last Orange Line train
60319157,trip_type,wait
60319158,note,Waits at Wellington for last Orange Line train
60319158,trip_type,wait
60319333,note,Waits at Sullivan Square for last Orange Line train
60319333,trip_type,wait
60319364,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60319364,trip_type,wait
60319483,note,Waits at Wellington for last Orange Line train
60319483,trip_type,wait
60321262,note,Waits at Sullivan Square for last Orange Line train
60321262,trip_type,wait
60321350,note,Waits at Malden Center for last Orange Line train
60321350,trip_type,wait
60321557,note,Waits at Sullivan Square for last Orange Line train
60321557,trip_type,wait
60321750,note,Waits at Sullivan Square for last Orange Line train
60321750,trip_type,wait
60321951,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60321951,trip_type,wait
60321989,note,Waits at Wellington for last Orange Line train
60321989,trip_type,wait
60322027,note,Waits at Harvard for last Red Line train
60322027,trip_type,wait
60377977,note,Waits at Forest Hills for last Orange Line train
60377977,trip_type,wait
60378332,note,Waits at Mattapan for last Mattapan Trolley train
60378332,note,Waits at Ashmont for last Red Line train
60378332,trip_type,wait
60378435,note,Waits at Forest Hills for last Orange Line train
60378435,trip_type,wait
